Title,Cluster
"Web Film Bathtub for Netflix by Decon - Hosted by Netflix, the grueling movie watching marathon will begin on October 2 in New York's Times Square and is e...",2
"Web Film Wired for Netflix by Decon - Hosted by Netflix, the grueling movie watching marathon will begin on October 2 in New York's Times Square and is exp...",2
"Web Film Two Guys for Netflix by Decon - Hosted by Netflix, the grueling movie watching marathon will begin on October 2 in New York's Times Square and is...",2
"Web Film India for Capgemini by Publicis Dialog - The strange phenomenon hits big companies accross the planet. Thus, we can see World news broadcasts show...",2
Television Domino City for Sony Bravia by Bates 141 Singapore,1
Print Bird for Mala's Froti by RK Swamy BBDO,0
Print Butterfly for Mala's Froti by RK Swamy BBDO,0
Magazine Wonderbra-Speed Hump for Wonderbra by RK Swamy BBDO,0
Print Tiger skin for World Wildlife Fund by Ogilvy India,0
Magazine Desert for Wildlife Trust of India by Chaitra Leo Burnett Private Ltd. - Save the tiger. Save the planet,3
Case Study Times of India for The Times of India by  Wunderman Thompson South Asia,0
Poster Parachute for Rotary Blood Bank by Mindspace Communication Consultants,1
Poster Helicopter for Rotary Blood Bank by Mindspace Communication Consultants,1
Poster Line for BIGFlix by Law & Kenneth Communications,4
Poster Woman for BIGFlix by Law & Kenneth Communications,4
Poster Thermometer for BIGFlix by Law & Kenneth Communications,4
Poster Broken Arrow for BIGFlix by Law & Kenneth Communications,4
Poster Blood Diamond for BIGFlix by Law & Kenneth Communications,4
Poster Telephone Booth for BIGFlix by Law & Kenneth Communications,4
Poster Dead Crow for BIGFlix by Law & Kenneth Communications,4
Poster Egg for Subhiksha by Orchard Advertising,1
Poster Onion for Subhiksha by Orchard Advertising,1
Poster Potato for Subhiksha by Orchard Advertising,1
Print Plane Sticker for 3M Post It by Ogilvy Bangalore,0
Print Boat Sticker for 3M Post It by Ogilvy Bangalore,0
Print Crumpled Sticker for 3M Post It by Ogilvy Bangalore,1
Print Romance for Satyam Cineplex by Ogilvy India,0
Print Horror for Satyam Cineplex by Ogilvy India,1
Print Dracula for Satyam Cineplex by Ogilvy India,0
Print Angels for Asahi Floatglass by Ogilvy India,1
Outdoor/Out of Home Spice for  by SSC&B,4
Print Tattoo for 3M Post It by Ogilvy Bangalore,1
Print Wrinkle-Free Corrugated for Madura Garments by Ogilvy Bangalore,0
Print Touch This Poster for Hindustan Lever by Ogilvy India,1
Print Waste Basket for Saber by Ogilvy India,0
Print Skirt for Nitco by Ogilvy India,1
Television Parrot for Tata by Ogilvy India,1
"Print Holi, India for Kodak by J. Walter Thompson New York",0
Television India for Fox Sports Net by Cliff Freeman & Partners - Sports news from the only region you care about. Yours.,3
Television Go Roaming for EuroTel by Leo Burnett Prague - A travel log of different people travels around the world and the bizzare things that happen on t...,2
Print 55 Reasons... for Saatchi & Saatchi by Saatchi & Saatchi,0
Television Reincarnation for India Tourist Office by Dentsu Aegis Network,1
Television Jaded for India Tourist Office North America by Oasis Advertising,1
Magazine Inner Peace for India Tourist Office North America by Oasis Advertising,1
Magazine Reincarnation for India Tourist Office North America by Oasis Advertising,1
Magazine World for India Tourist Office North America by Oasis Advertising,1
Television & Cinema Gandhi for Essar by RMG David - Open your mind,4
Outdoor/Out of Home India Expo for La Samaritaine by agence .V.,3
Television Colours for Patak's Sauces by Mitchell Patterson Grime Mitchell  - Using colours of India to denote wide variety of tastes and textures of India...,2
Print Wall Street for ACT by Watermelon Healthcare Communications Group,4
Print Heart for ACT by Watermelon Healthcare Communications Group,4
Print Survivor for ACT by Watermelon Healthcare Communications Group,4
Print FDNY Courage for ACT by Watermelon Healthcare Communications Group,4
Print Team for ACT by Watermelon Healthcare Communications Group,4
Magazine Blue Girl for Patak's sauces by Mitchell Patterson Grime Mitchell  - Face of blue girl.,3
Magazine Green Boy for Patak's saves by Mitchell Patterson Grime Mitchell  - Face of green boys.,3
Television The Sculptor for Peugeot by Havas Milan - Irresistible,4
Poster Pure for Zandu Honey by Saatchi & Saatchi,4
"Television Indian Meals for Waitrose by FCB Inferno - David versus Four Goliaths: How Advertising Quietly Revolutionised a Successful Business

This case...",2
Radio Menu for Spice Telecom by J. Walter Thompson Bangalore,1
Radio News for Spice Telecom by J. Walter Thompson Bangalore,1
Radio Sports for Spice Telecom by J. Walter Thompson Bangalore,1
Catalog White & Red for India Mahdavi,0
Television Chess for BPH Pfizer by Ogilvy India,4
Television Mustaq for OCBC Bank by BATEY /red cell Singapore - Strength to strength.,3
Print Cat & Dog for The Economic Times by Enterprise Nexus,0
Outdoor/Out of Home Clothes Line for Ariel by Saatchi & Saatchi,4
Print Baby for Center Shock by Ogilvy India,1
Print Ring for Center Shock by Ogilvy India - Really really sour gum.,3
Print Bus Stop for Center Shock by Ogilvy India - Really really sour gum.,3
Newspaper Man in Shadow for Coca-Cola by McCann Mumbai,1
Newspaper Barber Shop for Coca-Cola by McCann Mumbai,1
Newspaper Train Station for Coca-Cola by McCann Mumbai,1
Outdoor/Out of Home Well of Death for Fevicol Adhesive by Ogilvy India,0
Outdoor/Out of Home Tight Rope for Fevicol Adhesive by Ogilvy India,1
Outdoor/Out of Home Pole for Fevicol Adhesive by Ogilvy India,1
Print Eyes for Organ Donation by Ogilvy Healthcare,4
Print Heart for Organ Donation by Ogilvy Healthcare,0
Print Kidneys for Organ Donation by Ogilvy Healthcare,0
Print World Ozone Day for Sanctuary Magazine by Leo Burnett India,1
Television Elephant Tower for Pepsi by CLM BBDO - A young Indian boy thinks he has powers over elephants and decides to create a special act: elephant towe...,2
Outdoor/Out of Home Read This Standing on One Leg for Terry Fox Foundation by Saatchi & Saatchi,4
Outdoor/Out of Home Pyre of Cigarettes for Cancer Society of Madhya Pradesh by Purple Focus Pvt. Limited. - The poster ad depicts a funeral pyre ( as in th...,2
Television & Cinema Barber for Center Shock by Ogilvy India,1
Television & Cinema Save The Tiger for Sanctuary Magazine by Leo Burnett India,1
Television & Cinema Road Digging for The Times of India by Enterprise Nexus,1
Print Pick Up Lines for Colgate by Rediffusion-DY&R Ltd,0
Print Boat for Deccan Odyssey by Ogilvy India,0
Print College Mates for Orange Group SMS by Ogilvy India,1
Print Cousins for Orange Group SMS by Ogilvy India,1
Print Girl Scouts for Orange Group SMS by Ogilvy India,1
Print Palkhi for Deccan Odyssey by Ogilvy India,0
Print Elephant for Deccan Odyssey by Ogilvy India - A train journey where you travel like Indian royalty.,3
Print Urinating for The New Indian Express by Ogilvy Bangalore - I Love Bangalore?,3
Print Dog for The New Indian Express by Ogilvy Bangalore - I Love Bangalore?,0
Print No Parking for The New Indian Express by Ogilvy Bangalore - I Love Bangalore?,0
Print Cow for The New Indian Express by Ogilvy Bangalore - I Love Bangalore?,0
Print Cardboard for The New Indian Express by Ogilvy Bangalore - I Love Bangalore?,3
Print Asterisk for CPAA by Ogilvy India,0
Print Chariot for Deccan Odyssey by Ogilvy India - A train journey where you travel like Indian royalty.,3
Television & Cinema Bournville for Bournville by Ogilvy India - You don't just buy a Bournville.  Your earn it.,3
Radio Burp for Eatalica by 1pointsize,4
Television & Cinema SMS @10p for Vodafone by Ogilvy India - Make the most of now,1
"Poster Almighty Asparagus for JW Marriott Mumbai by Yes yes, why not?",3
"Poster Baisakhi for JW Marriott Mumbai by Yes yes, why not?",3
Print Elephant for WWF by Ogilvy India,1
Print Rhino for WWF by Ogilvy India,0
Print Turtle for WWF by Ogilvy India,1
Print Tree for World Wildlife Fund by ideas at work,0
Print For True Fans 1 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 2 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 3 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 4 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 5 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 6 for BIGFlix by Law & Kenneth Communications - For true fans,4
Print For True Fans 7 for BIGFlix by Law & Kenneth Communications - For true fans,4
Poster Bottle for IAA-Dentsu Global Student Poster Competition - Warning. Warming.,3
Print N/A for India Tourism by Grey Worldwide India (Pvt.) Limited.,3
Print N/A for India Tourism by Grey Worldwide India (Pvt.) Limited.,3
Print N/A for India Tourism by Grey Worldwide India (Pvt.) Limited.,3
Television Twisted Sisters for Bajaj by Ogilvy India,4
Case Study Sticker for Don't Drink & Drive by FCB India,1
Television & Cinema Bus Stop for ItchGuard by Mudra Communications Ltd,4
"Billboard Natural Finish for Berger by  Wunderman Thompson South Asia - Berger Paints, based in Kolkata, India, has been encouraging Indians to transform t...",2
Television The Game for Good Knight by  Wunderman Thompson South Asia,4
Television Legacies of African American Women for Target by Peterson Milla Hooks - Dream In Color,4
Newspaper Luck for Saroor Bar by Rediffusion-Y&R,0
Newspaper Problems for Saroor Bar by Rediffusion-Y&R,0
Newspaper Good Part for Saroor Bar by Rediffusion-Y&R,0
Newspaper Hope for Saroor Bar by Rediffusion-Y&R,0
Newspaper Bankrupt Guy for Saroor Bar by Rediffusion-Y&R,0
Print Child labour for JWT by  Wunderman Thompson South Asia - Your contribution can end child labour.,3
Television Romantic Ride for Yardley by Percept Limited,4
Print Blow for Getty Images by Rediffusion - Dentsu Y&R,4
Print Bush for Getty Images by Rediffusion - Dentsu Y&R,0
Print Crack for Getty Images by Rediffusion - Dentsu Y&R,4
Print Pot for Getty Images by Rediffusion - Dentsu Y&R,0
Magazine Beautiful hair. Naturally. for Natural Hair Care by Mudra Advertising - Beautiful hair. Naturally.,3
Case Study Etihad Married India To The World for Etihad Airways by Optimedia Middle East,1
Poster Shop & Win for Sahara Ganj (Mall) by Percept/H Pvt. Ltd.,3
Print The elderly for HelpAge India by Meridian Communication Pvt Ltd - The elderly need your love too.,3
Poster Paisley for Vividha by ideas at work,4
Poster Five for Vividha by ideas at work,0
Poster Curtain for Vividha by ideas at work,0
Print Fan for Ambuja Cement by Grey Worldwide India (Pvt.) Limited.,3
Print Lamp for Ambuja Cement by Grey Worldwide India (Pvt.) Limited.,3
Print Wall Hangings for Ambuja Cement by Grey Worldwide India (Pvt.) Limited.,3
Case Study Door Handle for Pantene by Grey Group India,1
Print Diver for Mentos by Ogilvy India,0
Print Tourist for Mentos by Ogilvy India,0
Poster save the tree for ,4
Promotional Products Pumping Heart for Rotary Blood Bank by Chaitra Leo Burnett Private Ltd.,3
Print Caveman for Mentos by Ogilvy India - Really Sour,4
Television Human Machine for Himami fast relief by Publicis India - Whenever pain strikes,1
Television Move for Citibank by Publicis India - Let's get it done,4
Print Calvin for Levi's by J. Walter Thompson Delhi,0
Print Jockey for Levi's by J. Walter Thompson Delhi,0
Print Victoria for Levi's by J. Walter Thompson Delhi,0
Poster Gun for Cancer Aid & Research Foundation by FCB India - Passive Smoke Kills Your Dearest Ones First.,3
Poster Knife for Cancer Aid & Research Foundation by FCB India - Passive Smoke Kills Your Dearest Ones First.,3
Poster Rope for Cancer Aid & Research Foundation by FCB India - Passive Smoke Kills Your Dearest Ones First.,3
Print Graffiti for iD by Makani Creatives Pvt. Ltd.,3
Print Sculptor for iD by Makani Creatives Pvt. Ltd.,3
"Television & Cinema Beauty Alert for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections,...",2
"Television & Cinema Busy Message for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections,...",2
"Television & Cinema Exam Result for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections, t...",2
"Television & Cinema Facebook for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections, the...",2
"Television & Cinema Live Game for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections, the...",2
"Television & Cinema Stock Alert for Vodafone by Ogilvy India - The summer of 2009 had a billion Indians talking of three things Â the national elections, t...",2
Print Cracker for KFC by Ogilvy India - A Little Too Chicken,3
Print Pool for KFC by Ogilvy India - A Little Too Chicken,3
Print Mouse for KFC by Ogilvy India - A Little Too Chicken,3
Poster Christmas for Inbev by FCB Ulka - Merry Christmas!,3
Web Advertising/Banners Bullet for Getty Images Ultimate Pitch by FCB Ulka - Raise Your Voice Against The Violence,4
Print Battle of Music 1 for Mahua TV by Ogilvy India - Who'll win this battle of music?,3
Print Battle of Music 2 for Mahua TV by Ogilvy India - Who'll win this battle of music?,3
Print Battle of Music 3 for Mahua TV by Ogilvy India - Who'll win this battle of music?,3
Television Human Machines for Himani by AMBIENCE PUBLICIS ,4
Case Study Stainbroidery for Tide by Leo Burnett India,0
Radio Vandana for American India Foundation by Rediffusion - Dentsu Y&R,1
Case Study The Elusive Coaster for SAB by Ogilvy Bangalore,0
Case Study Currency for In Gandhi's Shoes by Publicis India,1
Case Study 20 Million Experiences for Tata Sky by Maxus India,1
Case Study Midas Touch for Nokia by Maxus India,1
Case Study To Shave Or Not for Gillette Mach 3 by MediaCom India,1
"Case Study Say Condom, Aloud for BBC WORLD SERVICE TRUST by Madison Communications Private Limited",4
Case Study The Power Of Nano Innovations for Tata Nano Car by Universal McCann,1
Print Toilet (Loo) for Bajaj Fans by Leo Burnett India,1
Print Kitchen for Bajaj Fans by Leo Burnett India,1
Print Baby Room for Bajaj Fans by Leo Burnett India,1
Outdoor/Out of Home Baby Room for Bajaj Exhaust Fans by Leo Burnett India,1
Outdoor/Out of Home Bangalore - Dubai for Air India by Mudra,1
Outdoor/Out of Home Kitchen for Bajaj Exhaust Fans by Leo Burnett India,1
Outdoor/Out of Home Loo for Bajaj Exhaust Fans by Leo Burnett India,1
Outdoor/Out of Home Mumbai - New York for Air India by Mudra,4
Outdoor/Out of Home Savings for Cupid by Publicis India - Mumbai,1
Outdoor/Out of Home Shade for Garnier by Publicis India - Mumbai,1
Digital Arjuna the Archer for Sulekha.com by  Wunderman Thompson South Asia,0
"Packaging, Branding & Design Art Restoration for Nalini Prabhakar by Ogilvy India",1
"Packaging, Branding & Design Street To School for Balwadi Night School by  Wunderman Thompson South Asia",1
Corporate/Brand Identity Broken Window for Sulakshan Kulkarni by Publicis India - Mumbai,4
Print Engineer for Airtel by Rediffusion-Y&R - Don't loose your contacts when you drop your phone,4
Print Housewife for Airtel by Rediffusion-Y&R - Don't loose your contacts when you drop your phone,4
Print Tourist for Airtel by Rediffusion-Y&R - Don't loose your contacts when you drop your phone,4
Television A Day In The Life Of Chennai for The Times Of India by  Wunderman Thompson South Asia - The Times of India and JWT Mumbai presents a short satir...,2
Print Michael Jackson for Watermelon Healthcare Advertising by Joshbro Communications,1
Print Stubborn for Ariel by Saatchi & Saatchi - Stubborn stains?,3
Television SeÃ±or Jack for Bajaj by Ogilvy India - The Fastest Indian,4
Print Pigeons for Omax by Publicis India,1
Print Beach for Omax by Publicis India,1
Print Boardwalk for Omax by Publicis India,1
Television Just Your Stuff for Rediff.com by BBH Mumbai - Just your stuff,4
Television & Cinema Lipstick for Tide by Leo Burnett India,1
"Television Lakme Fashion Week: Mumbai for British Airways by BBH - Provoke people to go and seize the opportunities that exist around the world right now,...",2
Print Finest Writing Pen 1 for Renolds by J. Walter Thompson Chennai,0
Print Finest Writing Pen 2 for Renolds by J. Walter Thompson Chennai,0
Print Finest Writing Pen 3 for Renolds by J. Walter Thompson Chennai,0
Print Survival Man for WWF by Ogilvy India - Our survival depends on theirs.,3
Print Survival Woman for WWF by Ogilvy India - Our survival depends on theirs.,3
Television Anthem (Twitter) for Airtel by Rediffusion-Y&R - Share from anywhere,4
Print Gandhi for Union Bank of India by Mudra Communications Pvt. Ltd. - Joint account,1
Print Lincoln for Union Bank of India by Mudra Communications Pvt. Ltd. - Joint account,0
Print Mao for Union Bank of India by Mudra Communications Pvt. Ltd. - Joint account,3
Magazine Shoe Drive (Driving Shoes) for Metro Shoes by Makani Creatives Pvt. Ltd. - Happy Feet Make Happy People!,3
Magazine Shoe Slide (Kids Shoes) for Metro Shoes by Makani Creatives Pvt. Ltd. - Happy Feet Make Happy People!,3
Magazine Shoe Lounge (Urban Shoes) for Metro Shoes by Makani Creatives Pvt. Ltd. - Happy Feet Make Happy People!,3
Poster Eyeball for Oneeyeland.com by 1pointsize,3
Print Highlight What's Important - Green for Luxor Highlighter Pens by Leo Burnett India,1
"Packaging, Branding & Design Cadbury's Christmas Celebrations for the Blind for Cadbury India Limited by Design Sutra - Contract",1
"Packaging, Branding & Design Short Film Fest for Enlighten Short Film Festival by Ogilvy India",1
Radio 400 Times for Pest Seal by Publicis India - Mumbai,1
Print Grave 1 for E.B.A.I. by Y&R Dubai,0
Print Tide God Shoot for Tide Detergents by Leo Burnett India,0
Print Grave 2 for E.B.A.I. by Y&R Dubai,0
Print Highlight What's Important - Blue for Luxor Highlighter Pens by Leo Burnett India,1
Print Highlight What's Important - Pink for Luxor Highlighter Pens by Leo Burnett India,1
Print Grave 3 for E.B.A.I. by Y&R Dubai,0
Print Tiger for Sanctuary Asia by  Wunderman Thompson South Asia - Protect trees. Protect wildlife,0
Print Elephant for Sanctuary Asia by  Wunderman Thompson South Asia - Protect trees. Protect wildlife,0
Print Panda for Sanctuary Asia by  Wunderman Thompson South Asia - Protect trees. Protect wildlife,3
Poster Dressume for Thinkosaur.com by Lucifer Labs - CV rewriting services.,3
Poster Profile for Thinkosaur.com by Lucifer Labs - CV rewriting services.,3
Poster Biyodata for Thinkosaur.com by Lucifer Labs - CV rewriting services.,3
Print Poker for Fujifilm by RMG Connect - FINEPIX F70 WITH SMILE CAPTURE,4
Print Airport for Fujifilm by RMG Connect - FINEPIX F70 WITH SMILE CAPTURE,1
Print Funeral for Fujifilm by RMG Connect - FINEPIX F70 WITH SMILE CAPTURE,4
Television Magician for National Geographic by J. Walter Thompson Delhi - live curious,3
Print Water Waste for Vanarai by McCann Mumbai,0
Print Stop Human Trafficking 1 for  by Stredge Brand Introductions - Charity brand oneMen supports pioneers in developing countries with communication and...,2
Case Study Stop Human Trafficking 2 for  by Stredge Brand Introductions - Charity brand oneMen supports pioneers in developing countries with communication...,2
Print The fate of the blue whale lies in your hands for WWF by Ogilvy India - The fate of the blue whale lies in your hands,0
Newspaper Let Food Live Longer for Klin Wrap by Fresh Lime Communications - Let food live longer,4
Print Names for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print Because for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print How to for Albert Dali by Lucifer Labs - When you badly want a good name.,0
Print Registered for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print Trade Mark for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print Dotcom.com for Albert Dali by Lucifer Labs - When you badly want a good name.,0
Print Bill for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print Pele for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print Pope for Albert Dali by Lucifer Labs - When you badly want a good name.,3
Print First Time for Hymen Gel by The Communications Central - Vaginal tightening gel for women above 40.,3
Print Gap for Hymen Gel by The Communications Central - Vaginal tightening gel for women above 40.,3
Print Loose Ends for Hymen Gel by The Communications Central - Vaginal tightening gel for women above 40.,3
Television & Cinema Hiccup for Surf Excel / Omo by MullenLowe Lintas Group - Surf Excel. Dirt is good,3
Print Pottery for RCMSP by Publicis India - Mumbai,1
Print Fireworks for RCMSP by Publicis India - Mumbai,1
Print Saree for RCMSP by Publicis India - Mumbai,1
Print Catwalk 1 for Catwalk by Percept Limited,4
Print Catwalk 2 for Catwalk by Percept Limited,4
Print Catwalk 3 for Catwalk by Percept Limited,1
Print Archaeologist for HP by Publicis India - Because you can't afford to stop. HP long lasting travel batteries.,3
Print Director for HP by Publicis India - Because you can't afford to stop. HP long lasting travel batteries.,3
Print Wedding Planner for HP by Publicis India - Because you can't afford to stop. HP long lasting travel batteries.,3
Print Eyes for Dr Reddy's Laboratories (DRL) by The GreenRoom - Don't treat Diabetes to your eyes.,3
Print Heart for Dr Reddy's Laboratories (DRL) by The GreenRoom - Don't treat Diabetes to your heart.,3
Print Kidney for Dr Reddy's Laboratories (DRL) by The GreenRoom - Don't treat Diabetes to your eyes.,3
"Print Red Bricks for Sahaj by McCann Mumbai - Help remove the labour out of the game. To gift childhood to an underprivileged child,",3
"Print Yellow bricks for Sahaj by McCann Mumbai - Help remove the labour out of the game. To gift childhood to an underprivileged child,",3
Print The Classics 1 for DC Car Design Studio by Publicis India - Mumbai - The classics. Souped-up.,3
Print The Classics 2 for DC Car Design Studio by Publicis India - Mumbai - The classics. Souped-up.,3
Print The Classics 3 for DC Car Design Studio by Publicis India - Mumbai - The classics. Souped-up.,3
"Print Lennon for Lawrence & Mayo by Eleven Brandworks - John's gone.
28 years on. The songs over. The words forgotten. The fortune divided. Even the anthe...",2
"Print Schwarzenegger for Lawrence & Mayo by Eleven Brandworks - He'll be back.
The studios have cashed out. The shotgun lies rusted. The Terminator is him...",2
"Print Bono for Lawrence & Mayo by Eleven Brandworks - Which Bono is Bono?
The voice keeps getting louder. The stage changes everyday. The activist becomes...",2
Print Lamb for Radisson GRTHotels by J. Walter Thompson Chennai,0
Print Pork for Radisson GRTHotels by J. Walter Thompson Chennai,0
Print Beef for Radisson GRTHotels by J. Walter Thompson Chennai,0
Print London Guard for Gas-Aid by McCann Mumbai - Your Gas Entertains No One,0
"Print Bricks for Ehsaas by  Wunderman Thompson South Asia - Education is the only way out. To sponsor a childÂs education, call +91 25123131, 25143131 or l...",2
"Print Dhobi-Ghat for Ehsaas by  Wunderman Thompson South Asia - Education is the only way out. To sponsor a childÂs education, call +91 25123131, 25143131...",2
"Print Tea-Estate for Ehsaas by  Wunderman Thompson South Asia - Education is the only way out. To sponsor a childÂs education, call +91 25123131, 25143131...",2
